100100,8.299407e-05,5.934076e-01,3.443110e-09
100200,6.848596e-05,4.901638e-01,2.838634e-09
100300,7.801340e-05,5.589103e-01,3.230587e-09
100400,7.313333e-05,5.244704e-01,3.025746e-09
100500,7.784468e-05,5.588136e-01,3.217742e-09
100600,7.177901e-05,5.157834e-01,2.964321e-09
100700,8.006672e-05,5.759085e-01,3.303588e-09
100800,6.804303e-05,4.899098e-01,2.804941e-09
100900,6.677729e-05,4.812735e-01,2.750272e-09
101000,6.789660e-05,4.898255e-01,2.793844e-09
101100,7.139329e-05,5.155615e-01,2.935073e-09
101200,7.250523e-05,5.241092e-01,2.978097e-09
101300,6.767811e-05,4.896995e-01,2.777320e-09
101400,7.353589e-05,5.326100e-01,3.014989e-09
101500,7.819633e-05,5.669234e-01,3.203184e-09
101600,7.574564e-05,5.496970e-01,3.100006e-09
101700,7.684697e-05,5.582383e-01,3.142255e-09
101800,8.030793e-05,5.839534e-01,3.280827e-09
101900,7.196412e-05,5.237960e-01,2.937321e-09
102000,6.481655e-05,4.722349e-01,2.643214e-09
102100,5.415251e-05,3.949265e-01,2.206360e-09
102200,7.291056e-05,5.322471e-01,2.967973e-09
102300,6.813420e-05,4.978664e-01,2.771065e-09
102400,5.750057e-05,4.205756e-01,2.336502e-09
102500,5.509514e-05,4.033751e-01,2.236764e-09
102600,6.440475e-05,4.719948e-01,2.612390e-09
102700,8.305271e-05,6.092510e-01,3.365793e-09
102800,5.959453e-05,4.375941e-01,2.412981e-09
102900,6.420074e-05,4.718754e-01,2.597179e-09
103000,6.763118e-05,4.975722e-01,2.733528e-09
103100,6.290059e-05,4.632179e-01,2.540074e-09
103200,5.352557e-05,3.945599e-01,2.159576e-09
103300,6.044352e-05,4.459869e-01,2.436535e-09
103400,6.386347e-05,4.716773e-01,2.572122e-09
103500,8.235538e-05,6.088416e-01,3.313963e-09
103600,6.257080e-05,4.630239e-01,2.515615e-09
103700,6.829276e-05,5.058542e-01,2.743244e-09
103800,7.400274e-05,5.486774e-01,2.969992e-09
103900,5.775418e-05,4.286185e-01,2.315842e-09
104000,6.000159e-05,4.457261e-01,2.403846e-09
104100,7.146569e-05,5.313985e-01,2.860620e-09
104200,5.987647e-05,4.456520e-01,2.394627e-09
104300,6.441518e-05,4.798931e-01,2.573887e-09
104400,7.239166e-05,5.398350e-01,2.890078e-09
104500,7.461215e-05,5.569264e-01,2.976122e-09
104600,6.650785e-05,4.969086e-01,2.650542e-09
104700,7.102082e-05,5.311343e-01,2.827928e-09
104800,5.835979e-05,4.368647e-01,2.321762e-09
104900,7.544621e-05,5.653077e-01,2.998907e-09
105000,5.252931e-05,3.939698e-01,2.086168e-09
105100,6.274186e-05,4.710121e-01,2.489587e-09
105200,7.065415e-05,5.309154e-01,2.801110e-09
105300,7.741169e-05,5.822465e-01,3.066353e-09
105400,6.709679e-05,5.051430e-01,2.655466e-09
105500,7.043589e-05,5.307847e-01,2.785202e-09
105600,5.901448e-05,4.451378e-01,2.331554e-09
105700,6.122128e-05,4.622207e-01,2.416650e-09
105800,7.135149e-05,5.392134e-01,2.814098e-09
105900,6.675269e-05,5.049364e-01,2.630450e-09
106000,6.555403e-05,4.963377e-01,2.580990e-09
106100,7.451959e-05,5.647520e-01,2.931455e-09
106200,6.993164e-05,5.304814e-01,2.748607e-09
106300,7.662083e-05,5.817710e-01,3.008932e-09
106400,6.753759e-05,5.132857e-01,2.649952e-09
